"old_id","new_id"
"1_2001_40",674
"1_2001_50",675
"1_2001_60",676
"1_2001_70",677
"1_2001_80",678
"1_2001_90",679
"1_2002_10",680
"1_2002_20",681
"1_2002_30",682
"1_2002_40",683
"1_2002_50",684
"1_2002_60",685
"1_2002_70",686
"1_2002_80",687
"1_2002_90",688
"1_2003_10",689
"1_2003_20",690
"1_2003_30",691
"1_2003_40",692
"1_2003_50",693
"1_2003_60",694
"1_2004_10",695
"1_2004_20",696
"1_2004_30",697
"1_2004_40",698
"1_2005_10",699
"1_2005_20",700
"1_2005_30",701
"1_2005_40",702
"1_2005_50",703
"1_2005_60",704
"1_2006_10",705
"1_2006_100",706
"1_2006_110",707
"1_2006_120",708
"1_2006_130",709
"1_2006_140",710
"1_2006_150",711
"1_2006_160",712
"1_2006_170",713
"1_2006_180",714
"1_2006_190",715
"1_2006_20",716
"1_2006_200",717
"1_2006_210",718
"1_2006_220",719
"1_2006_230",720
"1_2006_240",721
"1_2006_250",722
"1_2006_30",723
"1_2006_40",724
"1_2006_50",725
"1_2006_60",726
"1_2006_70",727
"1_2006_80",728
"1_2006_90",729
"1_2007_10",730
"1_2008_10",731
"1_2008_100",732
"1_2008_20",733
"1_2008_30",734
"1_2008_40",735
"1_2008_44",736
"1_2008_50",737
"1_2008_60",738
"1_2008_70",739
"1_2008_80",740
"1_2008_90",741
"1_2009_10",742
"1_2009_20",743
"1_2009_30",744
"1_2009_40",745
"1_2009_50",746
"1_2009_60",747
"1_2009_70",748
"1_2009_80",749
"1_2010_10",750
"1_2010_20",751
"1_2010_30",752
"1_2010_40",753
"1_2011_10",754
"1_2011_20",755
"1_2011_30",756
"1_2012_10",757
"1_2012_20",758
"1_2012_30",759
"1_2012_40",760
"1_2012_50",761
"1_2012_60",762
"1_2012_70",763
"1_2012_80",764
"1_2013_10",765
"1_2013_20",766
"1_2013_30",767
"1_2014_10",768
"1_2014_100",769
"1_2014_110",770
"1_2014_120",771
"1_2014_130",772
"1_2014_140",773
"1_2014_150",774
"1_2014_160",775
"1_2014_20",776
"1_2014_30",777
"1_2014_40",778
"1_2014_50",779
"1_2014_60",780
"1_2014_70",781
"1_2014_80",782
"1_2014_90",783
"1_2015_10",784
"1_2015_20",785
"1_2015_30",786
"1_2015_40",787
"1_2015_50",788
"1_2015_60",789
"1_2016_10",790
"1_2016_20",791
"1_2016_30",792
"1_2016_40",793
"1_2016_50",794
"1_2016_60",795
"1_2016_70",796
"1_2017_10",797
"1_2017_20",798
"1_2017_30",799
"1_2017_40",800
"1_2017_50",801
"1_2017_60",802
"1_2019_10",803
"1_2019_20",804
"1_2019_30",805
"1_2019_40",806
"1_2019_50",807
"1_2019_60",808
"1_2021_10",809
"1_2021_20",810
"1_2021_30",811
"1_2021_40",812
"1_2021_50",813
"1_2023_10",814
"1_2023_20",815
"1_2023_30",816
"1_2025_10",817
"1_2025_20",818
"1_2025_30",819
"1_2025_40",820
"1_2025_50",821
"1_2025_60",822
"1_2025_70",823
"1_2027_10",824
"1_2027_20",825
"1_2027_30",826
"1_2027_40",827
"1_2027_50",828
"1_2029_10",829
"1_2029_20",830
"1_2029_30",831
"1_2029_40",832
"1_2029_50",833
"1_2029_60",834
"1_2029_70",835
"1_2029_80",836
"1_2031_10",837
"1_2031_20",838
"1_2031_30",839
"1_2031_40",840
"1_2033_10",841
"1_2033_20",842
"1_2033_30",843
"1_2033_40",844
"1_2033_50",845
"1_2033_60",846
"1_2033_70",847
"1_2035_10",848
"1_2035_20",849
"1_2035_30",850
"1_2035_40",851
"1_2035_50",852
"1_3001_10",853
"1_3001_100",854
"1_3001_110",855
"1_3001_120",856
"1_3001_130",857
"1_3001_140",858
"1_3001_150",859
"1_3001_160",860
"1_3001_170",861
"1_3001_180",862
"1_3001_190",863
"1_3001_20",864
"1_3001_200",865
"1_3001_210",866
"1_3001_220",867
"1_3001_230",868
"1_3001_240",869
"1_3001_250",870
"1_3001_260",871
"1_3001_270",872
"1_3001_280",873
"1_3001_290",874
"1_3001_30",875
"1_3001_300",876
"1_3001_310",877
"1_3001_320",878
"1_3001_330",879
"1_3001_340",880
"1_3001_350",881
"1_3001_360",882
"1_3001_370",883
"1_3001_380",884
"1_3001_390",885
"1_3001_40",886
"1_3001_400",887
"1_3001_410",888
"1_3001_420",889
"1_3001_430",890
"1_3001_440",891
"1_3001_450",892
"1_3001_460",893
"1_3001_470",894
"1_3001_50",895
"1_3001_60",896
"1_3001_70",897
"1_3001_80",898
"1_3001_90",899
"1_3002_10",900
"1_3002_20",901
"1_3002_30",902
"1_3002_40",903
"1_3002_50",904
"1_3002_60",905
"1_3002_70",906
"1_3002_80",907
"1_3002_90",908
"1_3003_10",909
"1_3003_20",910
"1_3003_30",911
"1_3003_40",912
"1_3003_50",913
"1_3003_60",914
"1_3003_70",915
"1_3003_80",916
"1_3003_90",917
"1_3004_10",918
"1_3004_20",919
"1_3004_30",920
"1_3004_40",921
"1_3004_50",922
"1_3004_60",923
"1_3004_70",924
"1_3004_80",925
"1_3004_90",926
"1_3005_10",927
"1_3005_100",928
"1_3005_110",929
"1_3005_120",930
"1_3005_130",931
"1_3005_140",932
"1_3005_150",933
"1_3005_160",934
"1_3005_170",935
"1_3005_180",936
"1_3005_20",937
"1_3005_30",938
"1_3005_40",939
"1_3005_50",940
"1_3005_60",941
"1_3005_70",942
"1_3005_80",943
"1_3005_90",944
"1_3006_10",945
"1_3006_20",946
"1_3006_30",947
"1_3006_40",948
"1_3007_10",949
"1_3007_100",950
"1_3007_110",951
"1_3007_120",952
"1_3007_20",953
"1_3007_30",954
"1_3007_40",955
"1_3007_50",956
"1_3007_60",957
"1_3007_70",958
"1_3007_80",959
"1_3007_90",960
"1_3008_10",961
"1_3008_20",962
"1_3008_30",963
"1_3008_40",964
"1_3009_10",965
"1_3009_20",966
"1_3009_30",967
"1_3009_40",968
"1_3010_10",969
"1_3010_100",970
"1_3010_20",971
"1_3010_30",972
"1_3010_40",973
"1_3010_50",974
"1_3010_60",975
"1_3010_70",976
"1_3010_80",977
"1_3010_90",978
"1_3011_10",979
"1_3011_100",980
"1_3011_110",981
"1_3011_120",982
"1_3011_130",983
"1_3011_140",984
"1_3011_144",985
"1_3011_150",986
"1_3011_160",987
"1_3011_170",988
"1_3011_180",989
"1_3011_190",990
"1_3011_20",991
"1_3011_200",992
"1_3011_210",993
"1_3011_30",994
"1_3011_40",995
"1_3011_50",996
"1_3011_60",997
"1_3011_70",998
"1_3011_80",999
"1_3011_90",1000
"1_3012_10",1001
"1_3013_10",1002
"1_3013_100",1003
"1_3013_110",1004
"1_3013_120",1005
"1_3013_130",1006
"1_3013_140",1007
"1_3013_20",1008
"1_3013_30",1009
"1_3013_40",1010
"1_3013_50",1011
"1_3013_60",1012
"1_3013_70",1013
"1_3013_80",1014
"1_3013_90",1015
"1_3014_10",1016
"1_3014_100",1017
"1_3014_110",1018
"1_3014_120",1019
"1_3014_20",1020
"1_3014_30",1021
"1_3014_40",1022
"1_3014_50",1023
"1_3014_60",1024
"1_3014_70",1025
"1_3014_80",1026
"1_3014_90",1027
"1_3015_10",1028
"1_3015_20",1029
"1_3015_30",1030
"1_3015_40",1031
"1_3015_50",1032
"1_3015_60",1033
"1_3015_70",1034
"1_3016_10",1035
"1_3016_20",1036
"1_3016_30",1037
"1_3016_40",1038
"1_3016_50",1039
"1_3016_60",1040
"1_3016_70",1041
"1_3017_10",1042
"1_3017_100",1043
"1_3017_110",1044
"1_3017_120",1045
"1_3017_130",1046
"1_3017_140",1047
"1_3017_150",1048
"1_3017_160",1049
"1_3017_20",1050
"1_3017_30",1051
"1_3017_40",1052
"1_3017_50",1053
"1_3017_60",1054
"1_3017_70",1055
"1_3017_80",1056
"1_3017_90",1057
"1_3018_30",1058
"1_3019_10",1059
"1_3019_100",1060
"1_3019_20",1061
"1_3019_30",1062
"1_3019_40",1063
"1_3019_50",1064
"1_3019_60",1065
"1_3019_70",1066
"1_3019_80",1067
"1_3019_90",1068
"1_3020_10",1069
"1_3020_100",1070
"1_3020_20",1071
"1_3020_30",1072
"1_3020_40",1073
"1_3020_50",1074
"1_3020_60",1075
"1_3020_70",1076
"1_3020_80",1077
"1_3020_90",1078
"1_3021_10",1079
"1_3021_20",1080
"1_3021_30",1081
"1_3021_40",1082
"1_3021_50",1083
"1_3021_60",1084
"1_4001_10",1085
"1_4001_100",1086
"1_4001_20",1087
"1_4001_30",1088
"1_4001_40",1089
"1_4001_50",1090
"1_4001_60",1091
"1_4001_70",1092
"1_4001_80",1093
"1_4001_90",1094
"1_4003_10",1095
"1_4003_100",1096
"1_4003_110",1097
"1_4003_120",1098
"1_4003_20",1099
"1_4003_30",1100
"1_4003_40",1101
"1_4003_50",1102
"1_4003_60",1103
"1_4003_70",1104
"1_4003_80",1105
"1_4003_90",1106
"1_4004_10",1107
"1_4004_20",1108
"1_4004_30",1109
"1_4004_40",1110
"1_4004_50",1111
"1_4004_60",1112
"1_4004_70",1113
"1_4005_10",1114
"1_4005_20",1115
"1_4005_30",1116
"1_4005_40",1117
"1_4005_50",1118
"1_4005_60",1119
"1_4006_10",1120
